mfcc,scem,scom,srom,sbwm,tempo,rmse,momento_aux
-23.941457267188806,1947.1129774617689,27.43550296523979,3714.877227287558,1731.6402532524341,123.046875,0.06281045824289322,Cena
-28.459056953205433,2318.569029515143,27.420139259665323,4357.3260880401685,1828.7222964018035,103.359375,0.020168503746390343,Cena
-27.474289970134468,2260.155462845444,28.348236349720743,4131.677104480858,1745.5302205066798,117.45383522727273,0.042725954204797745,Cena
-24.54047142070765,2156.6048651229903,29.058503446347803,4024.1359914261893,1809.8788833875062,103.359375,0.05520559847354889,Cena
-29.40403237818777,2055.9843601608186,28.35942108420423,3859.7142478429523,1718.6071788450188,103.359375,0.02164849080145359,Cena
-27.376640264202255,2276.210382872087,28.16421300493597,4237.019932297709,1774.9879452746322,117.45383522727273,0.03673675283789635,Cena
-26.420358896463632,2399.8047380099365,29.498232028249824,4466.940583762326,1847.5696590203936,117.45383522727273,0.046222023665905,Cena
-24.796860342694494,2364.4480578293956,27.681034105532866,4432.667318463602,1883.9221149012003,135.99917763157896,0.05504857003688812,Cena
-26.563620568672953,2247.1653080168844,26.81037826819199,4303.268255601073,1840.1882255479754,117.45383522727273,0.027608871459960938,Cena
-31.13517810017537,3714.2532008459743,27.33711550573699,6555.261598662268,2238.96249695099,123.046875,0.02080410346388817,Ducha
-26.751945452889654,2019.1461898381444,29.763829841550937,3745.353454448231,1712.5643983803523,123.046875,0.04302501305937767,Cena
-27.46725068897017,1832.9395609373469,27.42484125667011,3552.1291781467517,1612.9484675734368,117.45383522727273,0.026575511321425438,Cena
-24.18617896760046,2097.3190264771097,28.09871448951695,3917.9188456170245,1772.5750609535562,151.99908088235293,0.0829220712184906,Cena
-26.4720346788671,2287.1076382725223,26.36479132576385,4324.901380782338,1830.2807960096486,89.10290948275862,0.02243869937956333,Cena
-27.627794881247386,2024.7791931752656,28.26974885698827,3805.581473861659,1690.8551217043166,112.34714673913044,0.03686100244522095,Cena
-25.85486582429364,2205.3686779958953,28.310160577915354,4155.808281068736,1795.4773365875924,151.99908088235293,0.046146612614393234,Cena
-28.50852953342766,2162.597491096193,28.235767666438694,4336.092651083962,1942.2281633818022,135.99917763157896,0.02675735577940941,Cena
-24.47328144345451,1847.7089992532055,27.201719611857513,3461.999483396172,1618.305590752498,135.99917763157896,0.04511696472764015,Cena
-24.677299897694937,2231.173915011451,28.665625788827786,4177.491367278132,1813.3686950265794,135.99917763157896,0.04901766777038574,Cena
-26.88715636751256,1767.4654145010538,28.913999305312828,3344.7409503697795,1602.4431012580847,103.359375,0.0496806725859642,Cena
-27.070657810138016,2616.681202756848,26.121956621362234,4983.237848481003,1982.3765200461594,151.99908088235293,0.0330590084195137,Cena
-24.826617095816122,2014.7264250054152,27.8682430575559,3738.5837351363107,1709.0585503393665,112.34714673913044,0.05596036836504936,Cena
-32.22708514031474,4087.0939707397392,27.06996000343482,6675.342929778132,2193.623834500482,129.19921875,0.013828367926180363,Ducha
-31.394016444029212,4333.443860163088,26.834842045185503,6704.595111749565,2055.0130411399546,107.666015625,0.01991911605000496,Ducha
-24.84421709814637,2141.3284832875993,29.82937850307488,4011.370948738399,1716.198485177543,135.99917763157896,0.09003305435180664,Cena
-31.105432734592622,3696.2160312793594,27.35859475327564,6528.332604498985,2230.6235739476406,117.45383522727273,0.020648177713155746,Ducha
-31.973847465012327,3981.4917644562647,26.524281033666192,6596.579368927639,2192.3128814621045,135.99917763157896,0.014419498853385448,Ducha
-26.849370315874747,1852.1839629632573,27.262583451924822,3456.503770301624,1641.029046461481,107.666015625,0.03665682673454285,Cena
-26.84099035698669,2190.1479728881313,27.908405877152365,4021.9626867024363,1734.610242042262,103.359375,0.04088936001062393,Cena
-23.668698431845293,1905.9011613160912,28.901187421979834,3620.950494398927,1641.5892790051591,151.99908088235293,0.08942335098981857,Cena
-23.948251741919147,1911.615463823013,27.742780620083547,3632.3915698412125,1661.7846665713541,117.45383522727273,0.06798818707466125,Cena
-27.323056635219025,2328.9814622560207,27.5764396544194,4373.038831387761,1867.0786851045282,103.359375,0.02946530096232891,Cena
-28.34392631496136,2460.2976462775796,28.23100913559492,4606.656598934164,1953.9576499764792,143.5546875,0.023631952702999115,Cena
-25.15996439831973,1950.3233004916835,28.170230687070973,3731.6641327399943,1656.293396463774,117.45383522727273,0.06261211633682251,Cena
-29.116459596432758,2098.8949969670857,27.342264799459503,4085.9627637398494,1822.4511333543364,151.99908088235293,0.018417036160826683,Cena
-31.831471654655683,4146.873164621653,26.85157433878415,6642.418612238979,2148.5427472349793,123.046875,0.016425970941781998,Ducha
-26.74499056058088,2142.2376407452707,29.23803742571729,4041.1477215052205,1761.4015633042172,99.38401442307692,0.05814798176288605,Cena
-25.311681289614878,2447.2883510830757,27.585011531244593,4548.901650413283,1908.4007867979287,129.19921875,0.03606478497385979,Cena
-29.720894578238497,2020.5649194830678,27.80670406289459,3779.052167923434,1720.4959007206041,117.45383522727273,0.025483177974820137,Cena
