Quote,Author,Tags,Authors_info,Wikipedia_link
"You've got to know your limitations. I don't know what your limitations are. I found out what mine were when I was twelve. I found out that there weren't too many limitations, if I did it my way.",Johnny Cash,"Twelve, Way, Found ","Johnny Cash (born J.R. Cash, February 26, 1932 – September 12, 2003) was an American singer-songwriter, guitarist, actor, and author.",https://en.wikipedia.org/wiki/Johnny_Cash
Give me six hours to chop down a tree and I will spend the first four sharpening the axe.,Abraham Lincoln,"Inspirational, Motivational, Leadership ","Abraham Lincoln (February 12, 1809 – April 15, 1865) was an American lawyer and politician. He served as the 16th president of the United States from 1861 until his assassination in April 1865. Lincoln led the nation through the Civil War, its bloodiest war and its greatest moral, constitutional, and political crisis.",https://en.wikipedia.org/wiki/Abraham_Lincoln
Be brave. Take risks. Nothing can substitute experience.,Paulo Coelho,"Encouraging, Courage, Inspiration ",Paulo Coelho de Souza (; Portuguese: [ˈpawlu kuˈeʎu]; born 24 August 1947) is a Brazilian lyricist and novelist.,https://en.wikipedia.org/wiki/Paulo_Coelho
"If you really want to do something, you'll find a way. If you don't, you'll find an excuse.",Jim Rohn,"Inspirational, Motivational, Success ","Emanuel James ""Jim"" Rohn (September 17, 1930 – December 5, 2009) was an American entrepreneur, author and motivational speaker.",https://en.wikipedia.org/wiki/Jim_Rohn
"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",John Lennon,"Inspirational, Life, Motivational ","John Winston Ono Lennon  (9 October 1940 – 8 December 1980) was an English singer, songwriter, and peace activist who co-founded the Beatles, the most commercially successful band in the history of popular music.",https://en.wikipedia.org/wiki/John_Lennon
A thousand words will not leave so deep an impression as one deed.,Henrik Ibsen,"Inspirational, Inspiring, Positivity ","Henrik Johan Ibsen (; Norwegian: [ˈhɛnrɪk ˈɪpsn̩]; 20 March 1828 – 23 May 1906) was a Norwegian playwright, theatre director, and poet.",https://en.wikipedia.org/wiki/Henrik_Ibsen
It is neither wealth nor splendor; but tranquility and occupation which give you happiness.,Thomas Jefferson,"Life, Happiness, Work ","Thomas Jefferson (April 13, [O.S. April 2] 1743 – July 4, 1826) was a statesman, diplomat, architect, and Founding Father who served as the third president of the United States from 1801 to 1809. Previously, he had been elected the second vice president of the United States, serving under John Adams from 1797 to 1801. The principal author of the Declaration of Independence, Jefferson was a proponent of democracy, republicanism, and individual rights motivating American colonists to break from the Kingdom of Great Britain and form a new nation; he produced formative documents and decisions at both the state and national level.",https://en.wikipedia.org/wiki/Thomas_Jefferson
Courage is the price that life exacts for granting peace.,Amelia Earhart,"Inspirational, Life, Success ","Amelia Mary Earhart (, born July 24, 1897; disappeared July 2, 1937) was an American aviation pioneer and author.",https://en.wikipedia.org/wiki/Amelia_Earhart
"The moment we begin to fear the opinions of others and hesitate to tell the truth that is in us, and from motives of policy are silent when we should speak, the divine floods of light and life no longer flow into our souls.",Elizabeth Cady Stanton,"Life, Strength, Courage ","Elizabeth Cady Stanton (November 12, 1815 – October 26, 1902) was an American suffragist, social activist, abolitionist, and leading figure of the early women's rights movement.",https://en.wikipedia.org/wiki/Elizabeth_Cady_Stanton
"Trust yourself, you know more than you think you do.",Benjamin Spock,"Positive, Family, Trust ","Benjamin McLane Spock (May 2, 1903 – March 15, 1998) was an American pediatrician whose book Baby and Child Care (1946) is one of the best-selling volumes in history.",https://en.wikipedia.org/wiki/Benjamin_Spock
