Year,Date,Country,Sex,Age,Fatal_Y/N,Activity,Type,Injury
2014,17-Oct-14,Australia,F,13,N,Surfing,Unprovoked,"Lacerations to left calf & ankle, puncture wounds to left foot"
2014,14-Oct-14,Usa,F,7,N,Standing in inner tube,Unprovoked,Lacerations to left foot
2014,12-Oct-14,Usa,F,,N,Body surfing or Boogie boarding,Unprovoked,Laceration to right hand/wrist
2014,07-Oct-14,Usa,F,40,N,Fishing,Unprovoked,Thigh bitten
2014,11-Oct-14,Australia,M,,N,Kayaking,Boat,"Kayak deflated, no injury to occupants"
2014,05-Oct-14,Usa,M,29,N,Surfing,Unprovoked,Foot bitten
2014,05-Oct-14,Usa,M,15,N,Surfing,Unprovoked,Foot bitten
2014,03-Oct-14,Usa,M,,N,Kayaking,Boat,"No injury to occupant, shark/s holded  kayak"
2014,03-Oct-14,Usa,M,,N,Kayaking ,Boat,"No injury to occupant, shark/s holded  kayak"
2014,02-Oct-14,Usa,M,28,N,Surfing,Unprovoked,Lacerations to knee
2014,02-Oct-14,Australia,M,23,N,Surfing,Unprovoked,"Left arm & right hand severed, lacerations to both legs"
2014,21-Sep-14,Usa,M,,N,Surfing,Unprovoked,Minor injury to left foot
2014,Reported 12-Sep-2014,French Polynesia,F,36,N,Feeding fish,Unprovoked,Thumb & finger nipped
2014,13-Sep-14,Usa,M,,N,Surfing,Invalid,"A hoax, no shark involvement"
2014,09-Sep-14,Australia,M,50,Y,Swimming,Unprovoked,FATAL
2014,06-Sep-14,Usa,M,43,N,Fishing ,Unprovoked,Leg bitten
2014,03-Sep-14,Usa,F,20s,N,Kayaking ,Unprovoked,"No injury, shark bit kayak"
2014,02-Sep-14,Usa,M,52,N,Fishing,Provoked,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT
2014,Sep-14,Spain,M,16,N,Playing with an air mattress,Unprovoked,Lacerations to right hand
2014,31-Aug-14,Usa,F,13,N,Body surfing,Unprovoked,Injury to left calf
2014,29-Aug-14,Usa,M,17,N,Surfing,Unprovoked,Lacerations to shin
2014,29-Aug-14,Usa,Unknown,,N,,Invalid,Shark involvement not confirmed
2014,28-Aug-14,Usa,M,33,N,Fishing,Provoked,Lacerations to foot by hooked shark PROVOKED INCIDENT
2014,27-Aug-14,Spain,F,30s,N,Swimming,Unprovoked,Minor lacerations to posterior lower leg
2014,27-Aug-14,Usa,M,29,N,Surfing,Unprovoked,Laceration to left hand
